Codigo,Data,Hora,CodigoCliente,TotalPedido
49245,2010-01-02,08:07:26,1,21.61
49247,2010-01-02,08:23:58,1,1.8
49248,2010-01-02,08:38:35,1,3.18
49249,2010-01-02,08:54:23,1,5.95
49250,2010-01-02,09:03:57,1,2.8
49251,2010-01-02,09:10:32,1,29.69
49252,2010-01-02,09:14:04,1,15.97
49253,2010-01-02,09:15:53,1,23.4
49254,2010-01-02,09:20:42,1,158.84
49255,2010-01-02,09:19:15,1,3.82
49256,2010-01-02,09:21:36,1,54.97
49257,2010-01-02,09:31:07,1,211.69
49258,2010-01-02,09:27:26,1,5.32
49259,2010-01-02,09:28:45,1,10.38
49260,2010-01-02,09:29:55,1,18.58
