CodigoVenda,CodigoProduto,UNVenda,Quantidade,ValorTabela,ValorUnitario,ValorTotal,Desconto,CodigoSecao,CodigoGrupo,CodigoSubGrupo,CodigoFabricante,ValorCusto,ValorCustoGerencial,PrecoemPromocao
49245,320,UN,2.0,3.08,3.08,6.16,0.0,52,104,0,1174,2.45,1.92,
49245,2482,UN,1.0,2.44,2.44,2.44,0.0,58,110,0,1549,21678,22108,
49245,4145,KG,3475,2.44,2.44,8.48,0.0,83,184,0,1161,1.0,1.0,
49245,325,UN,1.0,3.08,3.08,3.08,0.0,52,104,0,1176,2627,2627,
49245,15400,UN,1.0,1.45,1.45,1.45,0.0,0,0,0,2005,0.0,0.0,
49247,4927,UN,1.0,0.9,0.9,0.9,0.0,78,179,0,1321,0.6,0.65,
49248,3191,UN,1.0,3.18,3.18,3.18,0.0,55,107,0,1618,2483,2493,
49249,7787,UN,1.0,5.95,5.95,5.95,0.0,78,179,0,1830,4215,4215,
49250,4221,KG,485,2.31,2.31,1.12,0.0,83,184,0,1161,1.78,1.78,
49250,4584,UN,1.0,0.68,0.68,0.68,0.0,67,146,0,1276,0.52,0.52,
49250,7861,UN,2.0,0.5,0.5,1.0,0.0,78,179,0,1321,0.0,0.0,
49251,5682,KG,2.49,1.0,1.0,2.49,0.0,83,184,0,4682,3.16,2.98,
49251,13746,UN,1.0,3.89,3.89,3.89,0.0,0,0,0,2535,0.0,0.0,
49251,4142,UN,1.0,1.0,1.3,1.3,-30.0,0,0,0,0,1.4,1.4,
49251,4142,UN,1.0,1.0,1.3,1.3,-30.0,0,0,0,0,1.4,1.4,
49251,4219,KG,0.54,3.89,3.89,2.1,0.0,83,184,0,1161,1.4,1.4,
49251,5679,KG,14.73,1.0,1.0,14.73,0.0,90,185,0,6286,206.0,206.0,
49251,5682,KG,3.88,1.0,1.0,3.88,0.0,83,184,0,4682,3.16,2.98,
49252,4259,KG,0.6,3.04,3.04,1.82,0.0,83,184,0,1161,1778,1778,
49252,12199,UN,1.0,0.65,0.65,0.65,0.0,0,0,0,1375,455,575,
49252,4212,KG,1.32,2.16,2.16,2.85,0.0,83,184,0,1161,1.0,1.0,
49252,12199,UN,1.0,0.65,0.65,0.65,0.0,0,0,0,1375,455,575,
49252,12199,UN,1.0,0.65,0.65,0.65,0.0,0,0,0,1375,455,575,
49252,1267,UN,4.0,0.59,0.59,2.36,0.0,61,113,0,1276,6.43,6.47,
49252,14075,UN,1.0,6.99,6.99,6.99,0.0,0,0,0,1128,0.0,0.0,
49253,6255,UN,1.0,8.15,8.15,8.15,0.0,79,180,0,1152,6.45,5.44,
49253,4215,KG,0.2,3.25,3.25,0.65,0.0,83,184,0,1161,2.8,2.8,
49253,4209,KG,685,1.44,1.44,0.99,0.0,83,184,0,1161,1.0,1.0,
49253,4142,UN,1.0,1.0,1.3,1.3,-30.0,0,0,0,0,1.4,1.4,
49253,5727,UN,0.91,1.04,1.04,0.95,0.0,83,184,0,1161,2.2,2.2,
49253,4219,KG,0.32,3.89,3.89,1.24,0.0,83,184,0,1161,1.4,1.4,
49253,5679,KG,10.12,1.0,1.0,10.12,0.0,90,185,0,6286,206.0,206.0,
49254,5682,KG,3.85,1.0,1.0,3.85,0.0,83,184,0,4682,3.16,2.98,
49254,4176,KG,2.06,1.14,1.14,2.35,0.0,83,184,0,1161,0.5,0.71,
49254,4668,UN,1.0,1.34,1.34,1.34,0.0,79,180,0,1841,1.05,1.05,
49254,5294,KG,1.0,3.68,3.68,3.68,0.0,79,180,0,1199,0.56,-0.1,
49254,5679,KG,17.67,1.0,1.0,17.67,0.0,90,185,0,6286,206.0,206.0,
49254,8075,UN,2.0,3.99,3.99,7.98,0.0,61,113,0,1322,28.9,28.62,
49254,5525,UN,1.0,5.75,5.75,5.75,0.0,56,132,0,1236,4.8,4.08,
49254,11265,UN,1.0,2.25,2.25,2.25,0.0,0,0,0,1755,3.34,3.46,
49254,888,UN,3.0,6.1,6.1,18.3,0.0,56,154,0,1247,5292,5292,
49254,12894,UN,1.0,1.58,1.58,1.58,0.0,0,0,0,2357,0.0,0.0,
49254,259,UN,1.0,1.08,1.08,1.08,0.0,57,120,0,1128,704,704,
49254,268,UN,1.0,1.15,1.15,1.15,0.0,57,115,0,1159,24.5,24.27,
49254,4209,KG,945,1.44,1.44,1.36,0.0,83,184,0,1161,1.0,1.0,
49254,4549,UN,1.0,2.15,2.15,2.15,0.0,83,184,0,1234,0.0,0.0,
49254,470,UN,2.0,3.85,3.85,7.7,0.0,60,124,0,1223,3.58,4.3,
49254,9058,KG,0.7,1.0,1.0,0.7,0.0,83,184,0,0,13.62,13.62,
49254,2177,UN,1.0,4.14,4.14,4.14,0.0,58,110,0,1504,0.0,0.0,
49254,303,UN,1.0,6.39,6.39,6.39,0.0,57,115,0,1145,6.0,6.0,
49254,303,UN,1.0,6.39,6.39,6.39,0.0,57,115,0,1145,6.0,6.0,
49254,294,UN,1.0,8.79,8.79,8.79,0.0,57,117,0,1137,5.5,6.76,
49254,5440,UN,1.0,1.72,1.72,1.72,0.0,58,110,0,1922,9.51,9.51,
49254,3332,UN,1.0,2.34,2.34,2.34,0.0,76,176,0,1161,1.7,1.7,
49254,9058,KG,3.99,1.0,1.0,3.99,0.0,83,184,0,0,13.62,13.62,
49254,8403,UN,3.0,2.58,2.58,7.74,0.0,57,191,0,1164,40.5,40.5,
49254,5416,UN,2.0,0.99,0.99,1.98,0.0,58,110,0,1478,0.68,0.85,
49254,2707,UN,1.0,2.36,2.36,2.36,0.0,55,107,0,1565,21375,21375,
49254,6970,UN,1.0,14.68,14.68,14.68,0.0,0,0,0,0,1113,1113,
49254,5060,UN,1.0,3.58,3.58,3.58,0.0,68,148,0,1646,20.38,19.95,
49254,3105,UN,2.0,0.84,0.84,1.68,0.0,55,107,0,1575,26.0,26.05,
49254,3178,UN,1.0,1.15,1.15,1.15,0.0,55,107,0,1560,0.0,0.0,
49254,2814,UN,1.0,0.98,0.98,0.98,0.0,55,107,0,1120,0.0,0.0,
49254,3094,UN,1.0,1.55,1.55,1.55,0.0,55,107,0,1562,0.88,0.97,
