Data,CodigoProduto,CodigoSecao,CodigoGrupo,CodigoSubGrupo,CodigoFabricante,CodigoFornecedor,CodigoKitPrincipal,CodigoVenda,Quantidade,QuantidadeLiquida,QuantDevolvida,ValorUnitario,ValorTotal,Desconto,Acrescimo,DescontoGeral,AcrescimoGeral,DescontoAplicado,AcrescimoAplicado,TotalPedido,ValorCusto,ValorCustoGerencial,TotalCusto,Rentabilidade,ValorKitPrincipal,VendaCancelada,ItemCancelado,PrecoemPromocao,EmPromocao,DiaDaSemana,Mes,Dia,Feriado,VesperaDeFeriado,QuantidadeLiquida_Lag1,QuantidadeLiquida_Lag2,QuantidadeLiquida_Lag3
2019-01-02,26173,21,289,0,753,0,0,63.0,80.0,80.0,0.0,1.9785714285714286,158.24,36.17999999999999,0.0,0.0,0.0,36.18,0.0,6882.88,1.5,1.5,4799.36,0.319,0.0,0.0,0.0,0.0,0.0,2,1,2,0,0,0.0,0.0,0.0
2019-01-03,26173,21,289,0,753,0,0,59.0,90.0,90.0,0.0,1.9783333333333333,178.0,35.18,0.0,0.0,0.0,35.18,0.0,6361.53,1.5,1.5,4579.6900000000005,0.3189,0.0,0.0,0.0,0.0,0.0,3,1,3,0,0,80.0,0.0,0.0
2019-01-04,26173,21,289,0,753,0,0,67.0,136.0,136.0,0.0,1.9819178082191782,269.84,29.65,0.0,0.0,0.0,29.65,0.0,10727.44,1.5,1.5,7673.73,0.3213,0.0,0.0,1.0,0.0,0.0,4,1,4,0,0,90.0,80.0,0.0
2019-01-05,26173,21,289,0,753,0,0,97.0,144.0,144.0,0.0,1.9809999999999999,285.42,45.48,0.0,0.0,0.0,45.48,0.0,16833.43,1.5,1.5,13602.07,0.3207,0.0,0.0,1.0,0.0,0.0,5,1,5,0,0,136.0,90.0,80.0
2019-01-06,26173,21,289,0,753,0,0,58.0,74.0,74.0,0.0,1.9825423728813558,146.66,22.11,0.0,0.0,0.0,22.11,0.0,5794.6,1.5,1.5,4446.1,0.3217,0.0,0.0,0.0,0.0,0.0,6,1,6,0,0,144.0,136.0,90.0
2019-01-07,26173,21,289,0,753,0,0,43.0,66.0,66.0,0.0,3.9932558139534886,263.62,27.959999999999997,0.0,0.0,0.0,27.96,0.0,5669.63,3.0,3.0,4109.5,0.3311,0.0,0.0,1.0,0.0,0.0,0,1,7,0,0,74.0,144.0,136.0
2019-01-08,26173,21,289,0,753,0,0,68.0,97.0,97.0,0.0,3.0583783783783787,299.77000000000004,30.15,0.0,0.0,0.0,30.15,0.0,11536.73,2.081081081081081,2.081081081081081,8319.47,0.4696,0.0,0.0,0.0,0.0,0.0,1,1,8,0,0,66.0,74.0,144.0
2019-01-09,26173,21,289,0,753,0,0,39.0,49.0,49.0,0.0,2.977692307692308,145.85,16.08,0.0,0.0,0.0,16.08,0.0,4379.96,2.0,2.0,3119.26,0.4888,0.0,0.0,0.0,0.0,0.0,2,1,9,0,0,97.0,66.0,74.0
2019-01-10,26173,21,289,0,753,0,0,32.0,45.0,45.0,0.0,2.9663636363636363,133.59,26.129999999999995,0.0,0.0,0.0,26.13,0.0,5755.11,2.0,2.0,4125.64,0.4832,0.0,0.0,0.0,0.0,0.0,3,1,10,0,0,49.0,97.0,66.0
2019-01-11,26173,21,289,0,753,0,0,55.0,88.0,88.0,0.0,2.9814035087719297,261.61,49.91,0.0,0.0,0.0,49.91,0.0,11452.02,2.017543859649123,2.017543859649123,11632.210000000001,0.4777,0.0,0.0,0.0,0.0,0.0,4,1,11,0,0,45.0,49.0,97.0
